,name_dk_wk4,position_dk_wk4,team_draft_wk4,opponent_fd_wk4,salary_dk_wk4,salary_fd_wk4,salary_draft_wk4,fd_adj_wk4,draft_adj_wk4,adj_fd-dk_wk4,adj_draft-dk_wk4,fd-dk_wk4,draft-dk_wk4,draft-fd_wk4,ppg_draft_wk4,ppg_dk_wk4,ppg_fd_wk4,ppg_diff_wk4
0,Christian McCaffrey,RB,Panthers,HOU,8800.0,9000.0,17700.0,7500.0,8850.0,-1300.0,50.0,200.0,8900.0,8700.0,28.0,28.0,23.5,4.5
1,Saquon Barkley,RB,Giants,WAS,8500.0,9200.0,16000.0,7667.0,8000.0,-833.0,-500.0,700.0,7500.0,6800.0,18.03,18.03,14.2,3.830000000000002
2,Dalvin Cook,RB,Vikings,CHI,8300.0,8300.0,15600.0,6917.0,7800.0,-1383.0,-500.0,0.0,7300.0,7300.0,29.13,29.13,24.6,4.529999999999998
3,Austin Ekeler,RB,Chargers,MIA,8000.0,8100.0,15100.0,6750.0,7550.0,-1250.0,-450.0,100.0,7100.0,7000.0,26.26,26.27,22.8,3.469999999999999
4,Julio Jones,WR,Falcons,TEN,7800.0,8500.0,14600.0,7083.0,7300.0,-717.0,-500.0,700.0,6800.0,6100.0,25.16,25.17,20.0,5.170000000000002
5,DeAndre Hopkins,WR,Texans,CAR,7700.0,8700.0,14500.0,7250.0,7250.0,-450.0,-450.0,1000.0,6800.0,5800.0,18.6,18.6,14.4,4.200000000000001
6,Melvin Gordon III,RB,Chargers,MIA,7700.0,4500.0,14500.0,3750.0,7250.0,-3950.0,-450.0,-3200.0,6800.0,10000.0,0.0,0.0,20.9,-20.9
7,Keenan Allen,WR,Chargers,MIA,7600.0,8100.0,15700.0,6750.0,7850.0,-850.0,250.0,500.0,8100.0,7600.0,31.23,31.23,24.4,6.830000000000002
8,Patrick Mahomes,QB,Chiefs,DET,7500.0,9200.0,14400.0,7667.0,7200.0,167.0,-300.0,1700.0,6900.0,5200.0,32.26,32.27,28.9,3.3700000000000045
9,Odell Beckham Jr.,WR,Browns,BAL,7300.0,7900.0,12900.0,6583.0,6450.0,-717.0,-850.0,600.0,5600.0,5000.0,18.93,18.93,14.8,4.129999999999999
10,Travis Kelce,TE,Chiefs,DET,7200.0,7600.0,13400.0,6333.0,6700.0,-867.0,-500.0,400.0,6200.0,5800.0,18.13,18.13,14.3,3.8299999999999983
11,Mike Evans,WR,Buccaneers,LAR,7100.0,7700.0,14500.0,6417.0,7250.0,-683.0,150.0,600.0,7400.0,6800.0,20.96,20.97,17.6,3.3699999999999974
12,Tyreek Hill,WR,Chiefs,DET,7000.0,7600.0,13200.0,6333.0,6600.0,-667.0,-400.0,600.0,6200.0,5600.0,4.1,4.1,3.1,0.9999999999999996
13,Todd Gurley II,RB,Rams,TB,7000.0,6800.0,12000.0,5667.0,6000.0,-1333.0,-1000.0,-200.0,5000.0,5200.0,10.36,10.37,9.7,0.6699999999999999
14,Lamar Jackson,QB,Ravens,CLE,6900.0,8300.0,12900.0,6917.0,6450.0,17.0,-450.0,1400.0,6000.0,4600.0,30.57,30.57,28.6,1.9699999999999989
15,David Johnson,RB,Cardinals,SEA,6800.0,6800.0,12400.0,5667.0,6200.0,-1133.0,-600.0,0.0,5600.0,5600.0,17.53,17.53,15.4,2.130000000000001
16,Sammy Watkins,WR,Chiefs,DET,6700.0,6900.0,12600.0,5750.0,6300.0,-950.0,-400.0,200.0,5900.0,5700.0,24.03,24.03,19.7,4.330000000000002
17,Mark Ingram II,RB,Ravens,CLE,6600.0,7800.0,12300.0,6500.0,6150.0,-100.0,-450.0,1200.0,5700.0,4500.0,24.63,24.63,21.6,3.0299999999999976
18,Tom Brady,QB,Patriots,BUF,6600.0,7800.0,11900.0,6500.0,5950.0,-100.0,-650.0,1200.0,5300.0,4100.0,25.48,25.48,23.5,1.9800000000000004
19,Adam Thielen,WR,Vikings,CHI,6600.0,7000.0,12300.0,5833.0,6150.0,-767.0,-450.0,400.0,5700.0,5300.0,15.46,15.47,13.6,1.870000000000001
20,Julian Edelman,WR,Patriots,BUF,6500.0,6900.0,13500.0,5750.0,6750.0,-750.0,250.0,400.0,7000.0,6600.0,14.92,14.93,12.1,2.83
21,Cooper Kupp,WR,Rams,TB,6500.0,7000.0,12200.0,5833.0,6100.0,-667.0,-400.0,500.0,5700.0,5200.0,22.8,22.8,17.0,5.800000000000001
22,Nick Chubb,RB,Browns,BAL,6400.0,7300.0,11500.0,6083.0,5750.0,-317.0,-650.0,900.0,5100.0,4200.0,16.13,16.13,14.3,1.8299999999999983
23,Deshaun Watson,QB,Texans,CAR,6400.0,8200.0,12100.0,6833.0,6050.0,433.0,-350.0,1800.0,5700.0,3900.0,24.8,24.81,23.5,1.3099999999999987
24,T.Y. Hilton,WR,Colts,OAK,6400.0,7400.0,12100.0,6167.0,6050.0,-233.0,-350.0,1000.0,5700.0,4700.0,21.16,21.17,17.8,3.370000000000001
25,Derrick Henry,RB,Titans,ATL,6300.0,7000.0,11800.0,5833.0,5900.0,-467.0,-400.0,700.0,5500.0,4800.0,19.3,19.3,18.6,0.6999999999999993
26,Tyler Lockett,WR,Seahawks,ARI,6300.0,6600.0,12000.0,5500.0,6000.0,-800.0,-300.0,300.0,5700.0,5400.0,21.56,21.57,16.9,4.670000000000002
