,name_dk,position_dk,team_draft,opponent_fd,salary_dk,salary_fd,salary_draft,fd_adj,draft_adj,adj_fd-dk,adj_draft-dk,fd-dk,draft-dk,draft-fd,avg_fppg_draft,avgpointspergame_dk,fppg_fd
491,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
492,,,Browns,,,,7100.0,,3550.0,,,,,,8.8,,
493,,,Browns,,,,10800.0,,5400.0,,,,,,12.4,,
494,,,Browns,,,,4100.0,,2050.0,,,,,,0.0,,
495,,,Rams,,,,8000.0,,4000.0,,,,,,0.0,,
496,,,Rams,,,,8900.0,,4450.0,,,,,,11.5,,
497,,,Rams,,,,6000.0,,3000.0,,,,,,0.0,,
498,,,Rams,,,,6000.0,,3000.0,,,,,,0.0,,
499,,,Rams,,,,6000.0,,3000.0,,,,,,0.0,,
500,,,Rams,,,,6000.0,,3000.0,,,,,,0.0,,
501,,,Rams,,,,6000.0,,3000.0,,,,,,0.0,,
502,,,Rams,,,,6000.0,,3000.0,,,,,,0.0,,
503,,,Rams,,,,6000.0,,3000.0,,,,,,0.0,,
504,,,Rams,,,,11500.0,,5750.0,,,,,,11.25,,
505,,,Rams,,,,12400.0,,6200.0,,,,,,11.4,,
506,,,Rams,,,,5000.0,,2500.0,,,,,,0.0,,
507,,,Rams,,,,5000.0,,2500.0,,,,,,0.0,,
508,,,Rams,,,,5000.0,,2500.0,,,,,,0.0,,
509,,,Rams,,,,6000.0,,3000.0,,,,,,0.0,,
510,,,Rams,,,,6000.0,,3000.0,,,,,,0.0,,
511,,,Rams,,,,12200.0,,6100.0,,,,,,13.4,,
512,,,Rams,,,,10000.0,,5000.0,,,,,,0.0,,
513,,,Rams,,,,12800.0,,6400.0,,,,,,15.28,,
514,,,Rams,,,,11900.0,,5950.0,,,,,,16.1,,
515,,,Rams,,,,5200.0,,2600.0,,,,,,3.4,,
516,,,Rams,,,,10000.0,,5000.0,,,,,,0.0,,
517,,,Rams,,,,6000.0,,3000.0,,,,,,0.0,,
518,,,Rams,,,,6000.0,,3000.0,,,,,,0.0,,
519,,,Rams,,,,6000.0,,3000.0,,,,,,0.0,,
520,,,Rams,,,,5600.0,,2800.0,,,,,,12.0,,
521,,,Rams,,,,5000.0,,2500.0,,,,,,0.0,,
522,,,Rams,,,,6400.0,,3200.0,,,,,,9.0,,
523,,,,BAL,,6000.0,,5000.0,,,,,,,,,0.0
524,,,,DET,,6000.0,,5000.0,,,,,,,,,-1.200000048
525,,,,DEN,,6000.0,,5000.0,,,,,,,,,0.0
526,,,,DAL,,6000.0,,5000.0,,,,,,,,,0.0
527,,,,NYG,,6000.0,,5000.0,,,,,,,,,0.0
528,,,,OAK,,6000.0,,5000.0,,,,,,,,,0.0
529,,,,GB,,6000.0,,5000.0,,,,,,,,,0.0
530,,,,GB,,6000.0,,5000.0,,,,,,,,,0.0
531,,,,ATL,,6000.0,,5000.0,,,,,,,,,0.0
532,,,,MIA,,6000.0,,5000.0,,,,,,,,,0.0
533,,,,CIN,,6000.0,,5000.0,,,,,,,,,0.0
534,,,,IND,,6000.0,,5000.0,,,,,,,,,0.0
535,,,,NE,,4900.0,,4083.0,,,,,,,,,-1.899999976
536,,,,CAR,,4600.0,,3833.0,,,,,,,,,0.0
537,,,,CIN,,4500.0,,3750.0,,,,,,,,,0.0
538,,,,CIN,,4500.0,,3750.0,,,,,,,,,0.0
539,,,,DAL,,4500.0,,3750.0,,,,,,,,,0.0
540,,,,MIN,,4500.0,,3750.0,,,,,,,,,4.816666603
541,,,,ATL,,4500.0,,3750.0,,,,,,,,,3.25
542,,,,TB,,4500.0,,3750.0,,,,,,,,,0.0
543,,,,BAL,,4500.0,,3750.0,,,,,,,,,0.0
544,,,,IND,,4500.0,,3750.0,,,,,,,,,3.133333206
545,,,,LAC,,4500.0,,3750.0,,,,,,,,,4.400000095
546,,,,HOU,,4500.0,,3750.0,,,,,,,,,2.600000064
547,,,,NO,,4500.0,,3750.0,,,,,,,,,0.0
548,,,,PHI,,4500.0,,3750.0,,,,,,,,,0.0
549,,,,LAC,,4500.0,,3750.0,,,,,,,,,0.0
550,,,,NYJ,,4500.0,,3750.0,,,,,,,,,0.0
551,,,,SEA,,4500.0,,3750.0,,,,,,,,,2.424999952
552,,,,KC,,4500.0,,3750.0,,,,,,,,,0.0
553,,,,MIN,,4500.0,,3750.0,,,,,,,,,0.0
554,,,,NO,,4500.0,,3750.0,,,,,,,,,0.0
555,,,,NE,,4500.0,,3750.0,,,,,,,,,6.53333346
556,,,,IND,,4500.0,,3750.0,,,,,,,,,0.0
557,,,,PIT,,4500.0,,3750.0,,,,,,,,,0.0
558,,,,KC,,4500.0,,3750.0,,,,,,,,,1.5499999519999998
559,,,,CIN,,4500.0,,3750.0,,,,,,,,,0.0
560,,,,ARI,,4500.0,,3750.0,,,,,,,,,0.0
561,,,,NO,,4500.0,,3750.0,,,,,,,,,0.0
562,,,,KC,,4500.0,,3750.0,,,,,,,,,0.0
563,,,,SEA,,4500.0,,3750.0,,,,,,,,,0.0
564,,,,IND,,4500.0,,3750.0,,,,,,,,,0.0
565,,,,GB,,4500.0,,3750.0,,,,,,,,,0.0
566,,,,PHI,,4500.0,,3750.0,,,,,,,,,0.0
567,,,,DET,,4500.0,,3750.0,,,,,,,,,0.0
568,,,,KC,,4500.0,,3750.0,,,,,,,,,0.0
569,,,,OAK,,4500.0,,3750.0,,,,,,,,,0.0
570,,,,DET,,4500.0,,3750.0,,,,,,,,,0.0
571,,,,DET,,4500.0,,3750.0,,,,,,,,,0.0
572,,,,ATL,,4500.0,,3750.0,,,,,,,,,0.0
573,,,,BAL,,4500.0,,3750.0,,,,,,,,,0.0
574,,,,SEA,,4500.0,,3750.0,,,,,,,,,0.0
575,,,,TB,,4500.0,,3750.0,,,,,,,,,0.0
576,,,,NYG,,4500.0,,3750.0,,,,,,,,,0.0
577,,,,OAK,,4500.0,,3750.0,,,,,,,,,0.0
578,,,,DEN,,4500.0,,3750.0,,,,,,,,,0.0
579,,,,ATL,,4500.0,,3750.0,,,,,,,,,0.0
580,,,,MIA,,4500.0,,3750.0,,,,,,,,,5.827272589
581,,,,HOU,,4500.0,,3750.0,,,,,,,,,0.0
582,,,,MIA,,4500.0,,3750.0,,,,,,,,,0.0
583,,,,SF,,4500.0,,3750.0,,,,,,,,,0.0
584,,,,BUF,,4500.0,,3750.0,,,,,,,,,0.0
585,,,,NYG,,4500.0,,3750.0,,,,,,,,,0.0
586,,,,DET,,4500.0,,3750.0,,,,,,,,,0.0
587,,,,KC,,4500.0,,3750.0,,,,,,,,,0.0
588,,,,ARI,,4500.0,,3750.0,,,,,,,,,0.0
589,,,,LAC,,4500.0,,3750.0,,,,,,,,,0.0
590,,,,OAK,,4500.0,,3750.0,,,,,,,,,0.0
591,,,,NO,,4500.0,,3750.0,,,,,,,,,3.599999905
592,,,,GB,,4500.0,,3750.0,,,,,,,,,4.870000076
593,,,,SF,,4500.0,,3750.0,,,,,,,,,0.0
594,,,,SF,,4500.0,,3750.0,,,,,,,,,0.0
595,,,,NO,,4500.0,,3750.0,,,,,,,,,0.0
596,,,,BUF,,4500.0,,3750.0,,,,,,,,,0.0
597,,,,CAR,,4500.0,,3750.0,,,,,,,,,0.0
598,,,,ATL,,4500.0,,3750.0,,,,,,,,,0.0
599,,,,NE,,4500.0,,3750.0,,,,,,,,,0.0
600,,,,DEN,,4500.0,,3750.0,,,,,,,,,0.0
601,,,,MIA,,4500.0,,3750.0,,,,,,,,,0.0
602,,,,HOU,,4500.0,,3750.0,,,,,,,,,0.0
603,,,,GB,,4500.0,,3750.0,,,,,,,,,0.0
604,,,,TB,,4500.0,,3750.0,,,,,,,,,0.0
605,,,,IND,,4500.0,,3750.0,,,,,,,,,0.0
606,,,,NE,,4500.0,,3750.0,,,,,,,,,0.0
607,,,,CIN,,4500.0,,3750.0,,,,,,,,,0.0
608,,,,PHI,,4500.0,,3750.0,,,,,,,,,0.0
609,,,,NE,,4500.0,,3750.0,,,,,,,,,0.0
610,,,,NE,,4000.0,,3333.0,,,,,,,,,6.692856925
611,,,,DET,,4000.0,,3333.0,,,,,,,,,0.0
612,,,,CAR,,4000.0,,3333.0,,,,,,,,,0.0
613,,,,MIN,,4000.0,,3333.0,,,,,,,,,1.4600000380000002
614,,,,TB,,4000.0,,3333.0,,,,,,,,,0.0
615,,,,PHI,,4000.0,,3333.0,,,,,,,,,0.0
616,,,,PIT,,4000.0,,3333.0,,,,,,,,,0.0
617,,,,SF,,4000.0,,3333.0,,,,,,,,,0.0
618,,,,DET,,4000.0,,3333.0,,,,,,,,,3.0666666030000003
619,,,,SF,,4000.0,,3333.0,,,,,,,,,0.0
620,,,,SEA,,4000.0,,3333.0,,,,,,,,,0.0
621,,,,BUF,,4000.0,,3333.0,,,,,,,,,0.0
622,,,,OAK,,4000.0,,3333.0,,,,,,,,,0.0
623,,,,DAL,,4000.0,,3333.0,,,,,,,,,1.399999936
624,,,,CAR,,4000.0,,3333.0,,,,,,,,,0.0
625,,,,DEN,,4000.0,,3333.0,,,,,,,,,0.0
626,,,,HOU,,4000.0,,3333.0,,,,,,,,,0.0
627,,,,KC,,4000.0,,3333.0,,,,,,,,,0.0
628,,,,DAL,,4000.0,,3333.0,,,,,,,,,0.0
629,,,,SEA,,4000.0,,3333.0,,,,,,,,,3.857142857
630,,,,TB,,4000.0,,3333.0,,,,,,,,,0.0
631,,,,MIA,,4000.0,,3333.0,,,,,,,,,0.0
632,,,,BUF,,4000.0,,3333.0,,,,,,,,,0.0
633,,,,ARI,,4000.0,,3333.0,,,,,,,,,0.0
634,,,,DEN,,4000.0,,3333.0,,,,,,,,,0.0
635,,,,PHI,,4000.0,,3333.0,,,,,,,,,0.0
636,,,,NE,,4000.0,,3333.0,,,,,,,,,0.0
637,,,,GB,,4000.0,,3333.0,,,,,,,,,4.166666667
638,,,,NYG,,4000.0,,3333.0,,,,,,,,,1.876923048
639,,,,CIN,,4000.0,,3333.0,,,,,,,,,0.0
640,,,,HOU,,4000.0,,3333.0,,,,,,,,,0.0
641,,,,BUF,,4000.0,,3333.0,,,,,,,,,1.566666603
