,name_dk,position_dk,team_draft,opponent_fd,salary_dk,salary_fd,salary_draft,fd_adj,draft_adj,adj_fd-dk,adj_draft-dk,fd-dk,draft-dk,draft-fd,avg_fppg_draft,avgpointspergame_dk,fppg_fd
403,Rhett Ellison,TE,Giants,TB,2600.0,4000.0,5000.0,3333.0,2500.0,733.0,-100.0,1400.0,2400.0,1000.0,1.8,1.8,1.299999952
404,Lance Kendricks,TE,Patriots,,2600.0,,5000.0,,2500.0,,-100.0,,2400.0,,0.0,0.0,
405,Virgil Green,TE,Chargers,HOU,2600.0,4000.0,6200.0,3333.0,3100.0,733.0,500.0,1400.0,3600.0,2200.0,1.65,1.65,1.149999976
406,Nick Vannett,TE,Seahawks,NO,2600.0,4500.0,5000.0,3750.0,2500.0,1150.0,-100.0,1900.0,2400.0,500.0,2.95,2.95,2.200000048
407,Dawson Knox,TE,Bills,CIN,2500.0,4500.0,5100.0,3750.0,2550.0,1250.0,50.0,2000.0,2600.0,600.0,1.95,1.95,1.4500000480000002
408,Lee Smith,TE,Bills,CIN,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.9,0.9,1.299999952
409,Drew Sample,TE,Bengals,BUF,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,2.25,2.25,3.5
410,Cethan Carter,TE,Bengals,BUF,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,0.0
411,Clark Harris,TE,Bengals,,2500.0,,5000.0,,2500.0,,0.0,,2500.0,,0.0,0.0,
412,Tommy Sweeney,TE,Bills,CIN,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,2.75,2.75,2.25
413,Dalton Schultz,TE,Cowboys,MIA,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,2.200000048
414,Nick O'Leary,TE,Dolphins,DAL,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.8,0.8,1.100000024
415,Troy Fumagalli,TE,Broncos,GB,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.85,1.200000048
416,Andrew Beck,TE,Broncos,GB,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,0.0
417,Marcedes Lewis,TE,Packers,DEN,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,1.7,1.7,1.200000048
418,Robert Tonyan,TE,Packers,DEN,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,1.9,1.9,3.299999952
419,Luke Stocker,TE,Falcons,IND,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.7,0.44999998799999996
420,Jaeden Graham,TE,Falcons,IND,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,0.0
421,Mo Alie-Cox,TE,Colts,ATL,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.65,0.65,0.400000006
422,Hale Hentges,TE,Colts,ATL,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,0.0
423,Blake Bell,TE,Chiefs,BAL,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.85,0.85,0.600000024
424,Deon Yelder,TE,Chiefs,BAL,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,0.0
425,James Winchester,TE,Chiefs,,2500.0,,5000.0,,2500.0,,0.0,,2500.0,,0.0,0.0,
426,Chiefs,DST,Chiefs,BAL,2500.0,3500.0,4200.0,2917.0,2100.0,417.0,-400.0,1000.0,1700.0,700.0,5.0,8.0,8.0
427,Ravens,DST,Ravens,KC,2500.0,3400.0,4500.0,2833.0,2250.0,333.0,-250.0,900.0,2000.0,1100.0,13.0,8.5,8.5
428,Foster Moreau,TE,Raiders,MIN,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,2.0,2.0,3.0
429,Derek Carrier,TE,Raiders,MIN,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,3.15,3.15,4.8000001910000005
430,Tyler Conklin,TE,Vikings,OAK,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,2.549999952
431,Ryan Izzo,TE,Patriots,NYJ,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.65,0.65,0.800000012
