Position, Name, Team, Game, Avg FPPG, Salary
"RB","Gus Edwards","Ravens","ARI @ BAL","8.98","$6,800.00"
"WR","Chris Moore","Ravens","ARI @ BAL","2.89","$6,000.00"
"TE","Nick Boyle","Ravens","ARI @ BAL","2.76","$5,000.00"
"TE","Hayden Hurst","Ravens","ARI @ BAL","2.94","$5,700.00"
"TE","Mark Andrews","Ravens","ARI @ BAL","6.7","$8,200.00"
"RB","Patrick Ricard","Ravens","ARI @ BAL","0.0","$6,000.00"
"QB","Robert Griffin III","Ravens","ARI @ BAL","0.28","$10,000.00"
"WR","Seth Roberts","Ravens","ARI @ BAL","7.12","$6,000.00"
"QB","Trace McSorley","Ravens","ARI @ BAL","0.0","$10,000.00"
"WR","Marquise Brown","Ravens","ARI @ BAL","0.0","$9,400.00"
"DST","Baltimore Ravens","Ravens","ARI @ BAL","8.05","$6,500.00"
"RB","Mark Ingram II","Ravens","ARI @ BAL","12.45","$11,500.00"
"WR","Miles Boykin","Ravens","ARI @ BAL","0.0","$6,300.00"
"WR","Jaleel Scott","Ravens","ARI @ BAL","0.0","$6,000.00"
"QB","Lamar Jackson","Ravens","ARI @ BAL","10.47","$13,100.00"
"WR","Willie Snead IV","Ravens","ARI @ BAL","8.4","$8,800.00"
"RB","Justice Hill","Ravens","ARI @ BAL","0.0","$6,400.00"
"WR","Trent Sherfield","Cardinals","ARI @ BAL","3.53","$6,000.00"
"WR","Damiere Byrd","Cardinals","ARI @ BAL","0.22","$6,000.00"
"TE","Maxx Williams","Cardinals","ARI @ BAL","2.85","$5,000.00"
"QB","Brett Hundley","Cardinals","ARI @ BAL","0.0","$10,000.00"
"TE","Charles Clay","Cardinals","ARI @ BAL","2.95","$5,000.00"
"WR","Michael Crabtree","Cardinals","ARI @ BAL","8.29","$6,400.00"
"TE","Darrell Daniels","Cardinals","ARI @ BAL","0.0","$5,000.00"
"QB","Kyler Murray","Cardinals","ARI @ BAL","0.0","$10,200.00"
"WR","Christian Kirk","Cardinals","ARI @ BAL","10.29","$9,300.00"
"WR","Larry Fitzgerald","Cardinals","ARI @ BAL","11.79","$9,100.00"
"RB","Chase Edmonds","Cardinals","ARI @ BAL","3.94","$6,300.00"
"RB","David Johnson","Cardinals","ARI @ BAL","15.72","$12,900.00"
"DST","Arizona Cardinals","Cardinals","ARI @ BAL","6.56","$3,900.00"
"RB","D.J. Foster","Cardinals","ARI @ BAL","0.0","$6,000.00"
"WR","Andy Isabella","Cardinals","ARI @ BAL","0.0","$6,000.00"
"WR","KeeSean Johnson","Cardinals","ARI @ BAL","0.0","$6,000.00"
"WR","A.J. Green","Bengals","SF @ CIN","17.37","$13,900.00"
"RB","Joe Mixon","Bengals","SF @ CIN","18.24","$13,300.00"
"WR","Auden Tate","Bengals","SF @ CIN","1.07","$6,000.00"
"WR","Pharoh Cooper","Bengals","SF @ CIN","0.0","$6,000.00"
"WR","John Ross III","Bengals","SF @ CIN","6.53","$10,500.00"
"WR","Tyler Boyd","Bengals","SF @ CIN","16.43","$13,400.00"
"TE","C.J. Uzomah","Bengals","SF @ CIN","6.55","$5,100.00"
