Instructions,,,,,,,,,,,,,,
1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,
2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,
3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,,
4) Maximum of 250 lineups per upload,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
38352-14187:A.J. Green,38352-14187,WR,A.J.,A.J. Green,Green,14.04444461,9,7100,SF@CIN,CIN,SF,O,Ankle,
38352-39793:George Kittle,38352-39793,TE,George,George Kittle,Kittle,9.399999619,1,7100,SF@CIN,SF,CIN,,,
38352-14225:Andy Dalton,38352-14225,QB,Andy,Andy Dalton,Dalton,20.71999931,1,7100,SF@CIN,CIN,SF,,,
38352-54604:Jimmy Garoppolo,38352-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,11.43999958,1,7000,SF@CIN,SF,CIN,,,
38352-6654:Matthew Stafford,38352-6654,QB,Matthew,Matthew Stafford,Stafford,27.60000038,1,7000,LAC@DET,DET,LAC,,,
38352-30447:Todd Gurley II,38352-30447,RB,Todd,Todd Gurley II,Gurley II,10.60000038,1,7000,NO@LAR,LAR,NO,,,
38352-29501:Brandin Cooks,38352-29501,WR,Brandin,Brandin Cooks,Cooks,4.900000095,1,7000,NO@LAR,LAR,NO,,,
38352-22994:Case Keenum,38352-22994,QB,Case,Case Keenum,Keenum,27.20000076,1,6900,DAL@WAS,WAS,DAL,,,
38352-25079:Stefon Diggs,38352-25079,WR,Stefon,Stefon Diggs,Diggs,4.699999809,1,6900,MIN@GB,MIN,GB,,,
38352-52922:Leonard Fournette,38352-52922,RB,Leonard,Leonard Fournette,Fournette,9.399999619,1,6900,JAC@HOU,JAC,HOU,,,
38352-79970:Cooper Kupp,38352-79970,WR,Cooper,Cooper Kupp,Kupp,8.100000381,1,6800,NO@LAR,LAR,NO,,,
38352-53640:Sony Michel,38352-53640,RB,Sony,Sony Michel,Michel,1.399999976,1,6800,NE@MIA,NE,MIA,,,
38352-38628:Mitchell Trubisky,38352-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,9.220000267,1,6800,CHI@DEN,CHI,DEN,,,
38352-27050:Tyler Lockett,38352-27050,WR,Tyler,Tyler Lockett,Lockett,10.89999962,1,6700,SEA@PIT,SEA,PIT,,,
38352-63806:Kerryon Johnson,38352-63806,RB,Kerryon,Kerryon Johnson,Johnson,7.199999809,1,6600,LAC@DET,DET,LAC,,,
38352-41426:Phillip Lindsay,38352-41426,RB,Phillip,Phillip Lindsay,Lindsay,8.600000381,1,6600,CHI@DEN,DEN,CHI,,,
38352-45859:Derek Carr,38352-45859,QB,Derek,Derek Carr,Carr,14.56000042,1,6600,KC@OAK,OAK,KC,,,
38352-27441:Damien Williams,38352-27441,RB,Damien,Damien Williams,Williams,15.5,1,6600,KC@OAK,KC,OAK,,,
38352-54244:Kenny Golladay,38352-54244,WR,Kenny,Kenny Golladay,Golladay,12.19999981,1,6600,LAC@DET,DET,LAC,,,
38352-72731:Josh Jacobs,38352-72731,RB,Josh,Josh Jacobs,Jacobs,23.79999924,1,6500,KC@OAK,OAK,KC,,,
38352-63484:Kyler Murray,38352-63484,QB,Kyler,Kyler Murray,Murray,22.62000084,1,6500,ARI@BAL,ARI,BAL,,,
38352-61798:Gardner Minshew II,38352-61798,QB,Gardner,Gardner Minshew II,Minshew II,18.60000038,1,6400,JAC@HOU,JAC,HOU,,,
38352-40442:Aaron Jones,38352-40442,RB,Aaron,Aaron Jones,Jones,4.400000095,1,6400,MIN@GB,GB,MIN,,,
38352-41475:John Ross III,38352-41475,WR,John,John Ross III,Ross III,31.29999924,1,6400,SF@CIN,CIN,SF,,,
38352-6714:Joe Flacco,38352-6714,QB,Joe,Joe Flacco,Flacco,14.81999969,1,6400,CHI@DEN,DEN,CHI,,,
38352-6826:Eli Manning,38352-6826,QB,Eli,Eli Manning,Manning,14.84000015,1,6400,BUF@NYG,NYG,BUF,,,
38352-41872:Evan Engram,38352-41872,TE,Evan,Evan Engram,Engram,23.10000038,1,6400,BUF@NYG,NYG,BUF,,,
38352-28930:James White,38352-28930,RB,James,James White,White,10.69999981,1,6300,NE@MIA,NE,MIA,,,
38352-54606:John Brown,38352-54606,WR,John,John Brown,Brown,21.79999924,1,6300,BUF@NYG,BUF,NYG,,,
38352-23194:Josh Gordon,38352-23194,WR,Josh,Josh Gordon,Gordon,14.80000019,1,6300,NE@MIA,NE,MIA,,,
38352-40669:Tyler Boyd,38352-40669,WR,Tyler,Tyler Boyd,Boyd,10.30000019,1,6300,SF@CIN,CIN,SF,,,
38352-69956:Michael Gallup,38352-69956,WR,Michael,Michael Gallup,Gallup,19.29999924,1,6200,DAL@WAS,DAL,WAS,,,
38352-7659:Ryan Fitzpatrick,38352-7659,QB,Ryan,Ryan Fitzpatrick,Fitzpatrick,11.19999981,1,6200,NE@MIA,MIA,NE,,,
38352-40845:Hunter Henry,38352-40845,TE,Hunter,Hunter Henry,Henry,8,1,6200,LAC@DET,LAC,DET,,,
38352-42028:Will Fuller V,38352-42028,WR,Will,Will Fuller V,Fuller V,7.900000095,1,6100,JAC@HOU,HOU,JAC,,,
38352-79974:Tarik Cohen,38352-79974,RB,Tarik,Tarik Cohen,Cohen,8.899999619,1,6100,CHI@DEN,CHI,DEN,,,
38352-52436:Mark Andrews,38352-52436,TE,Mark,Mark Andrews,Andrews,20.79999924,1,6100,ARI@BAL,BAL,ARI,,,
38352-25837:Duke Johnson,38352-25837,RB,Duke,Duke Johnson,Johnson,11,1,6100,JAC@HOU,HOU,JAC,,,
38352-73048:DK Metcalf,38352-73048,WR,DK,DK Metcalf,Metcalf,10.89999962,1,6100,SEA@PIT,SEA,PIT,,,
38352-55165:Justin Jackson,38352-55165,RB,Justin,Justin Jackson,Jackson,6.599999905,1,6100,LAC@DET,LAC,DET,,,
38352-39829:Mike Williams,38352-39829,WR,Mike,Mike Williams,Williams,3.900000095,1,6100,LAC@DET,LAC,DET,Q,Knee,
38352-71706:T.J. Hockenson,38352-71706,TE,T.J.,T.J. Hockenson,Hockenson,22.10000038,1,6000,LAC@DET,DET,LAC,,,
38352-24607:Chad Kelly,38352-24607,QB,Chad,Chad Kelly,Kelly,-0.100000001,1,6000,IND@TEN,IND,TEN,O,Suspension,
38352-63519:Daniel Jones,38352-63519,QB,Daniel,Daniel Jones,Jones,-0.819999993,1,6000,BUF@NYG,NYG,BUF,,,
38352-14377:Tyrod Taylor,38352-14377,QB,Tyrod,Tyrod Taylor,Taylor,0,1,6000,LAC@DET,LAC,DET,,,
38352-30788:Tyler Bray,38352-30788,QB,Tyler,Tyler Bray,Bray,0,0,6000,CHI@DEN,CHI,DEN,,,
38352-63611:Kyle Shurmur,38352-63611,QB,Kyle,Kyle Shurmur,Shurmur,0,0,6000,KC@OAK,KC,OAK,,,
38352-52369:Manny Wilkins,38352-52369,QB,Manny,Manny Wilkins,Wilkins,0,0,6000,MIN@GB,GB,MIN,,,
38352-57537:DeShone Kizer,38352-57537,QB,DeShone,DeShone Kizer,Kizer,2.460000038,3,6000,KC@OAK,OAK,KC,,,
38352-45259:Logan Woodside,38352-45259,QB,Logan,Logan Woodside,Woodside,0,0,6000,IND@TEN,TEN,IND,,,
38352-29915:Brett Hundley,38352-29915,QB,Brett,Brett Hundley,Hundley,0,0,6000,ARI@BAL,ARI,BAL,,,
38352-54507:Alex McGough,38352-54507,QB,Alex,Alex McGough,McGough,0,0,6000,JAC@HOU,HOU,JAC,,,
38352-11500:Colt McCoy,38352-11500,QB,Colt,Colt McCoy,McCoy,10.0600001,3,6000,DAL@WAS,WAS,DAL,O,Lower leg,
38352-31047:AJ McCarron,38352-31047,QB,AJ,AJ McCarron,McCarron,0.059999999,2,6000,JAC@HOU,HOU,JAC,,,
38352-27982:Jake Rudock,38352-27982,QB,Jake,Jake Rudock,Rudock,0,0,6000,NE@MIA,MIA,NE,,,
38352-27986:C.J. Beathard,38352-27986,QB,C.J.,C.J. Beathard,Beathard,16.39600067,5,6000,SF@CIN,SF,CIN,,,
38352-52606:David Blough,38352-52606,QB,David,David Blough,Blough,0,0,6000,LAC@DET,DET,LAC,,,
38352-103824:Easton Stick,38352-103824,QB,Easton,Easton Stick,Stick,0,0,6000,LAC@DET,LAC,DET,,,
38352-60840:Jake Browning,38352-60840,QB,Jake,Jake Browning,Browning,0,0,6000,MIN@GB,MIN,GB,,,
38352-21941:Robert Griffin III,38352-21941,QB,Robert,Robert Griffin III,Griffin III,7.099999905,1,6000,ARI@BAL,BAL,ARI,,,
38352-21948:Ryan Tannehill,38352-21948,QB,Ryan,Ryan Tannehill,Tannehill,-0.200000003,1,6000,IND@TEN,TEN,IND,,,
38352-31170:Brandon Allen,38352-31170,QB,Brandon,Brandon Allen,Allen,0,0,6000,CHI@DEN,DEN,CHI,,,
38352-40407:Josh Dobbs,38352-40407,QB,Josh,Josh Dobbs,Dobbs,0.36400001,5,6000,JAC@HOU,JAC,HOU,,,
38352-73183:Dwayne Haskins Jr.,38352-73183,QB,Dwayne,Dwayne Haskins Jr.,Haskins Jr.,0,0,6000,DAL@WAS,WAS,DAL,,,
38352-53729:Mason Rudolph,38352-53729,QB,Mason,Mason Rudolph,Rudolph,0,0,6000,SEA@PIT,PIT,SEA,,,
38352-33259:Teddy Bridgewater,38352-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,2.055000067,4,6000,NO@LAR,NO,LAR,,,
38352-45565:Taysom Hill,38352-45565,QB,Taysom,Taysom Hill,Hill,8.199999809,1,6000,NO@LAR,NO,LAR,,,
