Position,Name,ID,Name+ID,Team,Game,Avg FPPG,Salary
RB,Saquon Barkley,1653371,Saquon Barkley (1653371),Giants,MIN @ NYG,18.03,"$15,000.00 "
RB,David Johnson,1653382,David Johnson (1653382),Cardinals,ARI @ CIN,18.62,"$14,100.00 "
RB,Le'Veon Bell,1653414,Le'Veon Bell (1653414),Jets,NYJ @ PHI,18.46,"$13,300.00 "
RB,Melvin Gordon III,1653388,Melvin Gordon III (1653388),Chargers,DEN @ LAC,0,"$13,000.00 "
RB,Austin Ekeler,1653387,Austin Ekeler (1653387),Chargers,DEN @ LAC,27,"$12,600.00 "
RB,Leonard Fournette,1653404,Leonard Fournette (1653404),Jaguars,JAX @ CAR,17.45,"$12,100.00 "
RB,Mark Ingram II,1653367,Mark Ingram II (1653367),Ravens,BAL @ PIT,20.75,"$11,900.00 "
RB,James Conner,1653384,James Conner (1653384),Steelers,BAL @ PIT,10.9,"$11,700.00 "
RB,Joe Mixon,1653326,Joe Mixon (1653326),Bengals,ARI @ CIN,8.93,"$11,400.00 "
RB,Wayne Gallman Jr.,1653372,Wayne Gallman Jr. (1653372),Giants,MIN @ NYG,10.8,"$11,100.00 "
RB,Aaron Jones,1653335,Aaron Jones (1653335),Packers,GB @ DAL,16.5,"$11,000.00 "
RB,Marlon Mack,1653342,Marlon Mack (1653342),Colts,IND @ KC,14.35,"$10,900.00 "
RB,Derrick Henry,1653339,Derrick Henry (1653339),Titans,BUF @ TEN,18.17,"$10,800.00 "
RB,Jordan Howard,1653323,Jordan Howard (1653323),Eagles,NYJ @ PHI,13.32,"$10,500.00 "
RB,Sony Michel,1653365,Sony Michel (1653365),Patriots,NE @ WAS,7.02,"$10,400.00 "
RB,LeSean McCoy,1653321,LeSean McCoy (1653321),Chiefs,IND @ KC,13.87,"$10,200.00 "
RB,David Montgomery,1653418,David Montgomery (1653418),Bears,CHI @ OAK,10.02,"$10,200.00 "
RB,Devonta Freeman,1653316,Devonta Freeman (1653316),Falcons,ATL @ HOU,11.25,"$10,000.00 "
RB,Damien Williams,1653350,Damien Williams (1653350),Chiefs,IND @ KC,13.55,"$9,800.00 "
RB,James White,1653366,James White (1653366),Patriots,NE @ WAS,12.96,"$9,800.00 "
RB,Josh Jacobs,1653416,Josh Jacobs (1653416),Raiders,CHI @ OAK,12.85,"$9,500.00 "
RB,Phillip Lindsay,1653334,Phillip Lindsay (1653334),Broncos,DEN @ LAC,14.3,"$9,100.00 "
RB,Chris Thompson,1653399,Chris Thompson (1653399),Redskins,NE @ WAS,12.42,"$9,100.00 "
RB,Royce Freeman,1653332,Royce Freeman (1653332),Broncos,DEN @ LAC,10.65,"$9,100.00 "
RB,Ronald Jones II,1653394,Ronald Jones II (1653394),Buccaneers,TB @ NO,9.87,"$9,100.00 "
RB,Tarik Cohen,1653322,Tarik Cohen (1653322),Bears,CHI @ OAK,7.9,"$9,000.00 "
RB,Nyheim Hines,1653341,Nyheim Hines (1653341),Colts,IND @ KC,6.12,"$9,000.00 "
RB,Frank Gore,1653356,Frank Gore (1653356),Bills,BUF @ TEN,12.27,"$8,800.00 "
RB,Miles Sanders,1653421,Miles Sanders (1653421),Eagles,NYJ @ PHI,7.8,"$8,800.00 "
RB,Tony Pollard,1653424,Tony Pollard (1653424),Cowboys,GB @ DAL,7.67,"$8,800.00 "
RB,Jamaal Williams,1653337,Jamaal Williams (1653337),Packers,GB @ DAL,7.05,"$8,800.00 "
RB,Jordan Wilkins,1653343,Jordan Wilkins (1653343),Colts,IND @ KC,3.3,"$8,800.00 "
RB,Ty Montgomery,1653410,Ty Montgomery (1653410),Jets,NYJ @ PHI,2.5,"$8,800.00 "
RB,Duke Johnson,1653327,Duke Johnson (1653327),Texans,ATL @ HOU,7.57,"$8,600.00 "
RB,Carlos Hyde,1653405,Carlos Hyde (1653405),Texans,ATL @ HOU,9.2,"$8,400.00 "
RB,Dexter Williams,1653429,Dexter Williams (1653429),Packers,GB @ DAL,0,"$8,400.00 "
RB,Devin Singletary,1653417,Devin Singletary (1653417),Bills,BUF @ TEN,13.25,"$8,200.00 "
RB,Rex Burkhead,1653363,Rex Burkhead (1653363),Patriots,NE @ WAS,10.72,"$8,000.00 "
RB,Peyton Barber,1653393,Peyton Barber (1653393),Buccaneers,TB @ NO,9.45,"$8,000.00 "
RB,Alexander Mattison,1653419,Alexander Mattison (1653419),Vikings,MIN @ NYG,5.37,"$7,800.00 "
RB,Giovani Bernard,1653324,Giovani Bernard (1653324),Bengals,ARI @ CIN,4.6,"$7,800.00 "
RB,Elijhaa Penny,1653373,Elijhaa Penny (1653373),Giants,MIN @ NYG,0.37,"$7,800.00 "
RB,Ito Smith,1653318,Ito Smith (1653318),Falcons,ATL @ HOU,5.65,"$7,700.00 "
RB,Jaylen Samuels,1653386,Jaylen Samuels (1653386),Steelers,BAL @ PIT,1.9,"$7,700.00 "
RB,Justin Jackson,1653389,Justin Jackson (1653389),Chargers,DEN @ LAC,7.16,"$7,400.00 "
RB,Jalen Richard,1653352,Jalen Richard (1653352),Raiders,CHI @ OAK,2.87,"$7,400.00 "
RB,Justice Hill,1653428,Justice Hill (1653428),Ravens,BAL @ PIT,2.22,"$7,400.00 "
RB,Adrian Peterson,1653398,Adrian Peterson (1653398),Redskins,NE @ WAS,6.13,"$7,300.00 "
RB,Latavius Murray,1653361,Latavius Murray (1653361),Saints,TB @ NO,4.8,"$7,300.00 "
RB,Chase Edmonds,1653380,Chase Edmonds (1653380),Cardinals,ARI @ CIN,2.85,"$7,300.00 "
RB,Gus Edwards,1653408,Gus Edwards (1653408),Ravens,BAL @ PIT,5.02,"$7,000.00 "
RB,Dion Lewis,1653340,Dion Lewis (1653340),Titans,BUF @ TEN,3.92,"$7,000.00 "
RB,Darrel Williams,1653351,Darrel Williams (1653351),Chiefs,IND @ KC,8.87,"$6,900.00 "
RB,T.J. Yeldon,1653407,T.J. Yeldon (1653407),Bills,BUF @ TEN,4.17,"$6,900.00 "
RB,Darren Sproles,1653379,Darren Sproles (1653379),Eagles,NYJ @ PHI,3.65,"$6,900.00 "
