"QB","RB","RB","WR","WR","WR","TE","FLEX","DEF","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","38746-30231:Jacoby Brissett","38746-30231","QB","Jacoby","Jacoby Brissett","Brissett","18.213333129882812","3","7300","OAK@IND","IND","OAK","","","","",""
"","","","","","","","","","","38746-57909:Marlon Mack","38746-57909","RB","Marlon","Marlon Mack","Mack","16.166666666666668","3","7300","OAK@IND","IND","OAK","","","","",""
"","","","","","","","","","","38746-29501:Brandin Cooks","38746-29501","WR","Brandin","Brandin Cooks","Cooks","12","3","7300","TB@LAR","LAR","TB","","","","",""
"","","","","","","","","","","38746-22994:Case Keenum","38746-22994","QB","Case","Case Keenum","Keenum","19.50666681925456","3","7200","WAS@NYG","WAS","NYG","","","","",""
"","","","","","","","","","","38746-55635:Chris Godwin","38746-55635","WR","Chris","Chris Godwin","Godwin","13.466667175292969","3","7100","TB@LAR","TB","LAR","","","","",""
"","","","","","","","","","","38746-29685:Robert Woods","38746-29685","WR","Robert","Robert Woods","Woods","8.366666793823242","3","7100","TB@LAR","LAR","TB","","","","",""
"","","","","","","","","","","38746-79970:Cooper Kupp","38746-79970","WR","Cooper","Cooper Kupp","Kupp","16.96666717529297","3","7000","TB@LAR","LAR","TB","","","","",""
"","","","","","","","","","","38746-39280:Derrick Henry","38746-39280","RB","Derrick","Derrick Henry","Henry","18.633333841959637","3","7000","TEN@ATL","TEN","ATL","","","","",""
"","","","","","","","","","","38746-64119:Chris Carson","38746-64119","RB","Chris","Chris Carson","Carson","10.933333079020182","3","7000","SEA@ARI","SEA","ARI","","","","",""
"","","","","","","","","","","38746-39716:Adam Thielen","38746-39716","WR","Adam","Adam Thielen","Thielen","13.633333841959635","3","7000","MIN@CHI","MIN","CHI","","","","",""
"","","","","","","","","","","38746-28643:Allen Robinson II","38746-28643","WR","Allen","Allen Robinson II","Robinson II","9.59999974568685","3","7000","MIN@CHI","CHI","MIN","","","","",""
"","","","","","","","","","","38746-24641:Sammy Watkins","38746-24641","WR","Sammy","Sammy Watkins","Watkins","19.6999994913737","3","6900","KC@DET","KC","DET","","","","",""
"","","","","","","","","","","38746-41426:Phillip Lindsay","38746-41426","RB","Phillip","Phillip Lindsay","Lindsay","14.733333587646484","3","6900","JAC@DEN","DEN","JAC","","","","",""
"","","","","","","","","","","38746-6654:Matthew Stafford","38746-6654","QB","Matthew","Matthew Stafford","Stafford","18.946666717529297","3","6900","KC@DET","DET","KC","","","","",""
"","","","","","","","","","","38746-22038:Kirk Cousins","38746-22038","QB","Kirk","Kirk Cousins","Cousins","12.593332926432291","3","6900","MIN@CHI","MIN","CHI","","","","",""
"","","","","","","","","","","38746-29358:Marcus Mariota","38746-29358","QB","Marcus","Marcus Mariota","Mariota","17.746667226155598","3","6900","TEN@ATL","TEN","ATL","","","","",""
"","","","","","","","","","","38746-7859:Julian Edelman","38746-7859","WR","Julian","Julian Edelman","Edelman","12.093332926432291","3","6900","NE@BUF","NE","BUF","Q","Ribs","","",""
