"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"38945-42142","RB","Jordan","Jordan Howard","Howard","12.574999809265137","4","6500","NYJ@PHI","PHI","NYJ","","","","",""
"38945-53729","QB","Mason","Mason Rudolph","Rudolph","14.833333333333334","3","6500","BAL@PIT","PIT","BAL","","","","",""
"38945-8803","QB","Chase","Chase Daniel","Daniel","12.199999809265137","1","6500","CHI@OAK","CHI","OAK","","","","",""
"38945-7859","WR","Julian","Julian Edelman","Edelman","10.319999694824219","4","6500","NE@WAS","NE","WAS","Q","Chest","","",""
"38945-27477","WR","Sterling","Sterling Shepard","Shepard","14.733333587646484","3","6500","MIN@NYG","NYG","MIN","","","","",""
"38945-53095","QB","Kyle","Kyle Allen","Allen","13.8100004196167","2","6500","JAC@CAR","CAR","JAC","","","","",""
"38945-69956","WR","Michael","Michael Gallup","Gallup","14.550000190734863","2","6400","GB@DAL","DAL","GB","Q","Knee - meniscus","","",""
"38945-25011","TE","Darren","Darren Waller","Waller","12.300000190734863","4","6400","CHI@OAK","OAK","CHI","","","","",""
"38945-22994","QB","Case","Case Keenum","Keenum","14.75","4","6400","NE@WAS","WAS","NE","Q","Foot","","",""
"38945-53640","RB","Sony","Sony Michel","Michel","6.775000095367432","4","6300","NE@WAS","NE","WAS","","","","",""
"38945-40647","WR","Marquez","Marquez Valdes-Scantling","Valdes-Scantling","8.925000190734863","4","6300","GB@DAL","GB","DAL","","","","",""
"38945-39818","RB","Wayne","Wayne Gallman Jr.","Gallman Jr.","9.425000190734863","4","6300","MIN@NYG","NYG","MIN","","","","",""
"38945-41872","TE","Evan","Evan Engram","Engram","14.649999618530273","4","6300","MIN@NYG","NYG","MIN","","","","",""
"38945-29605","QB","Matt","Matt Barkley","Barkley","4.079999923706055","1","6300","BUF@TEN","BUF","TEN","","","","",""
"38945-28930","RB","James","James White","White","10.299999872843424","3","6200","NE@WAS","NE","WAS","","","","",""
"38945-24920","RB","Devonta","Devonta Freeman","Freeman","8.875","4","6200","ATL@HOU","ATL","HOU","","","","",""
"38945-73183","QB","Dwayne","Dwayne Haskins Jr.","Haskins Jr.","3.5799999237060547","1","6200","NE@WAS","WAS","NE","","","","",""
"38945-23194","WR","Josh","Josh Gordon","Gordon","8.800000190734863","4","6200","NE@WAS","NE","WAS","","","","",""
"38945-40845","TE","Hunter","Hunter Henry","Henry","8","1","6200","DEN@LAC","LAC","DEN","O","Knee","","",""
"38945-41966","QB","Luke","Luke Falk","Falk","5.420000076293945","2","6200","NYJ@PHI","NYJ","PHI","","","","",""
"38945-52436","TE","Mark","Mark Andrews","Andrews","14.024999618530273","4","6100","BAL@PIT","BAL","PIT","","","","",""
"38945-39829","WR","Mike","Mike Williams","Williams","6.566666920979817","3","6100","DEN@LAC","LAC","DEN","Q","Back","","",""
"38945-72731","RB","Josh","Josh Jacobs","Jacobs","12.475000381469727","4","6000","CHI@OAK","OAK","CHI","","","","",""
"38945-14377","QB","Tyrod","Tyrod Taylor","Taylor","0.09000000357627869","2","6000","DEN@LAC","LAC","DEN","","","","",""
"38945-30788","QB","Tyler","Tyler Bray","Bray","0","0","6000","CHI@OAK","CHI","OAK","","","","",""
"38945-52342","QB","Will","Will Grier","Grier","0","0","6000","JAC@CAR","CAR","JAC","","","","",""
"38945-83079","QB","Kyle","Kyle Lauletta","Lauletta","-1.2000000476837158","1","6000","NYJ@PHI","PHI","NYJ","","","","",""
"38945-52369","QB","Manny","Manny Wilkins","Wilkins","0","0","6000","GB@DAL","GB","DAL","","","","",""
"38945-27801","QB","Nate","Nate Sudfeld","Sudfeld","2.3399999141693115","2","6000","NYJ@PHI","PHI","NYJ","","","","",""
"38945-71845","RB","Miles","Miles Sanders","Sanders","6.800000190734863","4","6000","NYJ@PHI","PHI","NYJ","","","","",""
"38945-57537","QB","DeShone","DeShone Kizer","Kizer","2.4600000381469727","3","6000","CHI@OAK","OAK","CHI","","","","",""
"38945-45259","QB","Logan","Logan Woodside","Woodside","0","0","6000","BUF@TEN","TEN","BUF","","","","",""
"38945-29915","QB","Brett","Brett Hundley","Hundley","0","0","6000","ARI@CIN","ARI","CIN","","","","",""
"38945-54507","QB","Alex","Alex McGough","McGough","0","0","6000","ATL@HOU","HOU","ATL","","","","",""
"38945-11500","QB","Colt","Colt McCoy","McCoy","10.06000010172526","3","6000","NE@WAS","WAS","NE","","","","",""
"38945-31047","QB","AJ","AJ McCarron","McCarron","0.05999999865889549","2","6000","ATL@HOU","HOU","ATL","","","","",""
"38945-53604","QB","Nick","Nick Fitzgerald","Fitzgerald","0","0","6000","TB@NO","TB","NO","","","","",""
"38945-6504","QB","Drew","Drew Brees","Brees","11.15999984741211","2","6000","TB@NO","NO","TB","O","Thumb","","",""
"38945-103824","QB","Easton","Easton Stick","Stick","0","0","6000","DEN@LAC","LAC","DEN","","","","",""
"38945-60840","QB","Jake","Jake Browning","Browning","0","0","6000","MIN@NYG","MIN","NYG","","","","",""
"38945-21941","QB","Robert","Robert Griffin III","Griffin III","7.099999904632568","1","6000","BAL@PIT","BAL","PIT","","","","",""
"38945-21948","QB","Ryan","Ryan Tannehill","Tannehill","-0.20000000298023224","1","6000","BUF@TEN","TEN","BUF","","","","",""
"38945-6589","QB","Ben","Ben Roethlisberger","Roethlisberger","6.869999885559082","2","6000","BAL@PIT","PIT","BAL","IR","Elbow","","",""
"38945-31170","QB","Brandon","Brandon Allen","Allen","0","0","6000","DEN@LAC","DEN","LAC","","","","",""
"38945-40407","QB","Josh","Josh Dobbs","Dobbs","0.36400001049041747","5","6000","JAC@CAR","JAC","CAR","","","","",""
"38945-25079","WR","Stefon","Stefon Diggs","Diggs","7.349999904632568","4","6000","MIN@NYG","MIN","NYG","","","","",""
"38945-45565","QB","Taysom","Taysom Hill","Hill","3.4749999046325684","4","6000","TB@NO","NO","TB","","","","",""
"38945-22027","QB","Nick","Nick Foles","Foles","7","1","6000","JAC@CAR","JAC","CAR","IR","Collarbone","","",""
"38945-60947","QB","Jarrett","Jarrett Stidham","Stidham","-0.4399999976158142","1","6000","NE@WAS","NE","WAS","","","","",""
"38945-6679","QB","Matt","Matt Schaub","Schaub","0.30000001192092896","2","6000","ATL@HOU","ATL","HOU","","","","",""
"38945-40482","QB","Tim","Tim Boyle","Boyle","0","0","6000","GB@DAL","GB","DAL","","","","",""
"38945-23075","QB","Alex","Alex Tanney","Tanney","0","0","6000","MIN@NYG","NYG","MIN","","","","",""
"38945-64051","QB","Drew","Drew Lock","Lock","0","0","6000","DEN@LAC","DEN","LAC","IR","Thumb","","",""
"38945-6803","QB","Josh","Josh McCown","McCown","0.9599999785423279","1","6000","NYJ@PHI","PHI","NYJ","","","","",""
"38945-6826","QB","Eli","Eli Manning","Manning","13.520000457763672","2","6000","MIN@NYG","NYG","MIN","","","","",""
"38945-44715","QB","Cooper","Cooper Rush","Rush","0","0","6000","GB@DAL","DAL","GB","","","","",""
"38945-62133","QB","Chase","Chase Litton","Litton","0","0","6000","JAC@CAR","JAC","CAR","","","","",""
"38945-61157","QB","Brett","Brett Rypien","Rypien","0","0","6000","DEN@LAC","DEN","LAC","","","","",""
"38945-29445","QB","Sean","Sean Mannion","Mannion","-0.20000000298023224","1","6000","MIN@NYG","MIN","NYG","","","","",""
"38945-28434","QB","Trevor","Trevor Siemian","Siemian","0.11999999731779099","1","6000","NYJ@PHI","NYJ","PHI","IR","Ankle","","",""
"38945-46866","QB","Ryan","Ryan Finley","Finley","0","0","6000","ARI@CIN","CIN","ARI","","","","",""
"38945-25410","QB","Mike","Mike Glennon","Glennon","5.480000019073486","2","6000","CHI@OAK","OAK","CHI","","","","",""
"38945-104281","QB","Jake","Jake Dolegala","Dolegala","0","0","6000","ARI@CIN","CIN","ARI","","","","",""
"38945-55148","QB","Clayton","Clayton Thorson","Thorson","0","0","6000","GB@DAL","DAL","GB","","","","",""
"38945-14194","QB","Blaine","Blaine Gabbert","Gabbert","4.630000114440918","8","6000","TB@NO","TB","NO","IR","Shoulder","","",""
"38945-39795","QB","Davis","Davis Webb","Webb","0","0","6000","BUF@TEN","BUF","TEN","","","","",""
"38945-33702","QB","Ryan","Ryan Griffin","Griffin","0","0","6000","TB@NO","TB","NO","","","","",""
"38945-38837","QB","Danny","Danny Etling","Etling","0","0","6000","ATL@HOU","ATL","HOU","","","","",""
"38945-56250","WR","Terry","Terry McLaurin","McLaurin","17.233333587646484","3","6000","NE@WAS","WAS","NE","Q","Hamstring","","",""
"38945-56286","QB","Trace","Trace McSorley","McSorley","0","0","6000","BAL@PIT","BAL","PIT","","","","",""
"38945-62535","WR","Tyrell","Tyrell Williams","Williams","13.524999618530273","4","5900","CHI@OAK","OAK","CHI","Q","Foot","","",""
"38945-63591","RB","Ronald","Ronald Jones II","Jones II","9.5","4","5900","TB@NO","TB","NO","","","","",""
"38945-79974","RB","Tarik","Tarik Cohen","Cohen","6.150000095367432","4","5900","CHI@OAK","CHI","OAK","","","","",""
"38945-22018","WR","Mohamed","Mohamed Sanu","Sanu","9.024999618530273","4","5900","ATL@HOU","ATL","HOU","","","","",""
"38945-63043","WR","DJ","DJ Moore","Moore","10.324999809265137","4","5900","JAC@CAR","CAR","JAC","","","","",""
"38945-24755","WR","Jamison","Jamison Crowder","Crowder","8.933333079020182","3","5800","NYJ@PHI","NYJ","PHI","","","","",""
"38945-52917","WR","DJ","DJ Chark Jr.","Chark Jr.","14.899999618530273","4","5800","JAC@CAR","JAC","CAR","","","","",""
"38945-6883","WR","Larry","Larry Fitzgerald","Fitzgerald","13.375","4","5800","ARI@CIN","ARI","CIN","","","","",""
"38945-42028","WR","Will","Will Fuller V","Fuller V","6.324999809265137","4","5700","ATL@HOU","HOU","ATL","","","","",""
"38945-57403","WR","Courtland","Courtland Sutton","Sutton","13.475000381469727","4","5700","DEN@LAC","DEN","LAC","","","","",""
"38945-73273","RB","David","David Montgomery","Montgomery","9.024999618530273","4","5700","CHI@OAK","CHI","OAK","","","","",""
"38945-6840","RB","Frank","Frank Gore","Gore","11.024999618530273","4","5700","BUF@TEN","BUF","TEN","","","","",""
"38945-6914","TE","Greg","Greg Olsen","Olsen","10.899999618530273","4","5700","JAC@CAR","CAR","JAC","","","","",""
"38945-72846","WR","A.J.","A.J. Brown","Brown","9.824999809265137","4","5600","BUF@TEN","TEN","BUF","","","","",""
"38945-11505","WR","Emmanuel","Emmanuel Sanders","Sanders","13.824999809265137","4","5600","DEN@LAC","DEN","LAC","","","","",""
"38945-52560","WR","Geronimo","Geronimo Allison","Allison","7.433333079020183","3","5600","GB@DAL","GB","DAL","","","","",""
"38945-60858","WR","Christian","Christian Kirk","Kirk","10","4","5600","ARI@CIN","ARI","CIN","O","Ankle","","",""
"38945-28473","RB","Carlos","Carlos Hyde","Hyde","8.574999809265137","4","5600","ATL@HOU","HOU","ATL","","","","",""
"38945-11512","TE","Jimmy","Jimmy Graham","Graham","6.400000095367432","4","5500","GB@DAL","GB","DAL","","","","",""
"38945-12541","D","New England","New England Patriots","Patriots","21.5","4","5500","NE@WAS","NE","WAS","","","","",""
"38945-32045","TE","Vance","Vance McDonald","McDonald","8.59999974568685","3","5500","BAL@PIT","PIT","BAL","Q","Shoulder","","",""
"38945-54606","WR","John","John Brown","Brown","12.350000381469727","4","5500","BUF@TEN","BUF","TEN","","","","",""
"38945-52613","WR","Curtis","Curtis Samuel","Samuel","8.774999618530273","4","5500","JAC@CAR","CAR","JAC","","","","",""
"38945-26251","WR","Robby","Robby Anderson","Anderson","5.5","3","5500","NYJ@PHI","NYJ","PHI","","","","",""
"38945-22288","WR","Cole","Cole Beasley","Beasley","9.649999618530273","4","5500","BUF@TEN","BUF","TEN","","","","",""
"38945-40857","RB","Peyton","Peyton Barber","Barber","8.824999809265137","4","5500","TB@NO","TB","NO","","","","",""
"38945-29683","WR","Nelson","Nelson Agholor","Agholor","10.449999809265137","4","5500","NYJ@PHI","PHI","NYJ","","","","",""
"38945-64555","WR","Calvin","Calvin Ridley","Ridley","10.175000190734863","4","5400","ATL@HOU","ATL","HOU","","","","",""
"38945-25813","WR","Phillip","Phillip Dorsett II","Dorsett II","11.824999809265137","4","5400","NE@WAS","NE","WAS","","","","",""
"38945-24891","RB","Chris","Chris Thompson","Thompson","9.925000190734863","4","5400","NE@WAS","WAS","NE","","","","",""
"38945-39286","TE","O.J.","O.J. Howard","Howard","5.366666793823242","3","5400","TB@NO","TB","NO","","","","",""
"38945-45631","RB","Jamaal","Jamaal Williams","Williams","6.050000190734863","4","5400","GB@DAL","GB","DAL","O","Concussion","","",""
"38945-86687","WR","Marquise","Marquise Brown","Brown","12.850000381469727","4","5400","BAL@PIT","BAL","PIT","","","","",""
"38945-55970","RB","Royce","Royce Freeman","Freeman","8.899999618530273","4","5400","DEN@LAC","DEN","LAC","","","","",""
"38945-70603","RB","Devin","Devin Singletary","Singletary","12","2","5400","BUF@TEN","BUF","TEN","Q","Hamstring","","",""
"38945-25837","RB","Duke","Duke Johnson","Johnson","6.574999809265137","4","5300","ATL@HOU","HOU","ATL","","","","",""
"38945-14645","WR","Dontrelle","Dontrelle Inman","Inman","4.300000190734863","4","5300","DEN@LAC","LAC","DEN","IR","Quadriceps","","",""
"38945-45439","WR","Corey","Corey Davis","Davis","7.199999809265137","4","5300","BUF@TEN","TEN","BUF","","","","",""
"38945-60910","WR","Dede","Dede Westbrook","Westbrook","7.275000095367432","4","5300","JAC@CAR","JAC","CAR","","","","",""
"38945-6703","RB","Adrian","Adrian Peterson","Peterson","5.633333206176758","3","5300","NE@WAS","WAS","NE","","","","",""
"38945-7761","TE","Jared","Jared Cook","Cook","3.25","4","5300","TB@NO","NO","TB","","","","",""
"38945-27338","RB","Rex","Rex Burkhead","Burkhead","8.975000381469727","4","5300","NE@WAS","NE","WAS","Q","Foot","","",""
"38945-6863","TE","Delanie","Delanie Walker","Walker","9.175000190734863","4","5300","BUF@TEN","TEN","BUF","","","","",""
"38945-27457","WR","Kenny","Kenny Stills","Stills","7.574999809265137","4","5300","ATL@HOU","HOU","ATL","Q","Hamstring","","",""
"38945-64339","WR","Auden","Auden Tate","Tate","5.966666539510091","3","5300","ARI@CIN","CIN","ARI","","","","",""
"38945-60735","RB","Derrius","Derrius Guice","Guice","5.300000190734863","1","5200","NE@WAS","WAS","NE","IR","Knee - meniscus","","",""
"38945-34331","RB","Latavius","Latavius Murray","Murray","4.300000190734863","4","5200","TB@NO","NO","TB","","","","",""
"38945-7870","TE","Ben","Ben Watson","Watson","5.346153846153846","13","5200","NE@WAS","NE","WAS","","","","",""
"38945-57342","WR","Tre'Quan","Tre'Quan Smith","Smith","8","2","5200","TB@NO","NO","TB","","","","",""
"38945-40167","RB","Gus","Gus Edwards","Edwards","4.650000095367432","4","5100","BAL@PIT","BAL","PIT","","","","",""
"38945-52902","WR","Trey","Trey Quinn","Quinn","6.099999904632568","4","5100","NE@WAS","WAS","NE","","","","",""
"38945-14240","TE","Lance","Lance Kendricks","Kendricks","3.25","2","5100","DEN@LAC","LAC","DEN","","","","",""
"38945-14257","WR","Randall","Randall Cobb","Cobb","7.449999809265137","4","5100","GB@DAL","DAL","GB","","","","",""
"38945-41936","WR","Anthony","Anthony Miller","Miller","1.2000000476837158","4","5100","CHI@OAK","CHI","OAK","","","","",""
"38945-55323","RB","Jaylen","Jaylen Samuels","Samuels","8.079999923706055","3","5000","BAL@PIT","PIT","BAL","","","","",""
"38945-24671","WR","Adam","Adam Humphries","Humphries","4.199999809265137","4","5000","BUF@TEN","TEN","BUF","","","","",""
"38945-12527","D","Chicago","Chicago Bears","Bears","13","4","5000","CHI@OAK","CHI","OAK","","","","",""
"38945-63759","RB","Tony","Tony Pollard","Pollard","8.566666920979818","3","5000","GB@DAL","DAL","GB","","","","",""
"38945-34154","WR","J.J.","J.J. Nelson","Nelson","11.600000381469727","1","5000","CHI@OAK","OAK","CHI","Q","Knee","","",""
"38945-44449","WR","Willie","Willie Snead IV","Snead IV","7.849999904632568","4","5000","BAL@PIT","BAL","PIT","","","","",""
"38945-55748","WR","James","James Washington","Washington","2.950000047683716","4","5000","BAL@PIT","PIT","BAL","","","","",""
"38945-66008","WR","Diontae","Diontae Johnson","Johnson","8.550000190734863","4","5000","BAL@PIT","PIT","BAL","","","","",""
"38945-6627","WR","Ted","Ted Ginn Jr.","Ginn Jr.","6.5","3","5000","TB@NO","NO","TB","","","","",""
"38945-6641","TE","Jason","Jason Witten","Witten","7.849999904632568","4","5000","GB@DAL","DAL","GB","","","","",""
"38945-52931","RB","Elijhaa","Elijhaa Penny","Penny","0.75","2","5000","MIN@NYG","NYG","MIN","","","","",""
"38945-25290","RB","Giovani","Giovani Bernard","Bernard","3.799999952316284","4","5000","ARI@CIN","CIN","ARI","","","","",""
"38945-33578","RB","Jalen","Jalen Richard","Richard","2.125","4","5000","CHI@OAK","OAK","CHI","","","","",""
"38945-55165","RB","Justin","Justin Jackson","Jackson","6.166666666666667","3","5000","DEN@LAC","LAC","DEN","D","Calf","","",""
"38945-72676","RB","Troymaine","Troymaine Pope","Pope","10.399999618530273","1","5000","DEN@LAC","LAC","DEN","","","","",""
"38945-14339","RB","Dion","Dion Lewis","Lewis","2.799999952316284","4","4900","BUF@TEN","TEN","BUF","","","","",""
"38945-71705","TE","Noah","Noah Fant","Fant","5.5","4","4900","DEN@LAC","DEN","LAC","","","","",""
"38945-72776","RB","Alexander","Alexander Mattison","Mattison","5.25","4","4900","MIN@NYG","MIN","NYG","","","","",""
"38945-12545","D","Philadelphia","Philadelphia Eagles","Eagles","3.75","4","4900","NYJ@PHI","PHI","NYJ","","","","",""
"38945-54782","TE","Cameron","Cameron Brate","Brate","4.150000095367432","4","4900","TB@NO","TB","NO","","","","",""
"38945-30403","WR","Chris","Chris Conley","Conley","8.550000190734863","4","4900","JAC@CAR","JAC","CAR","","","","",""
"38945-41741","WR","DaeSean","DaeSean Hamilton","Hamilton","3.7333332697550454","3","4900","DEN@LAC","DEN","LAC","","","","",""
"38945-31561","WR","Donte","Donte Moncrief","Moncrief","1.100000023841858","2","4900","BAL@PIT","PIT","BAL","","","","",""
"38945-28502","WR","Devin","Devin Smith","Smith","6.599999745686849","3","4900","GB@DAL","DAL","GB","","","","",""
"38945-28570","TE","Nick","Nick Vannett","Vannett","2.4000000953674316","4","4900","BAL@PIT","PIT","BAL","","","","",""
"38945-64585","TE","Dawson","Dawson Knox","Knox","6.324999809265137","4","4800","BUF@TEN","BUF","TEN","","","","",""
"38945-12534","D","Tennessee","Tennessee Titans","Titans","10.75","4","4800","BUF@TEN","TEN","BUF","","","","",""
"38945-64827","WR","Miles","Miles Boykin","Boykin","4.824999809265137","4","4800","BAL@PIT","BAL","PIT","","","","",""
"38945-63819","WR","Darius","Darius Slayton","Slayton","6","2","4800","MIN@NYG","NYG","MIN","","","","",""
"38945-31061","RB","T.J.","T.J. Yeldon","Yeldon","6.349999904632568","2","4800","BUF@TEN","BUF","TEN","","","","",""
"38945-22898","RB","Brandon","Brandon Bolden","Bolden","3.3333333333333335","3","4800","NE@WAS","NE","WAS","","","","",""
"38945-55689","RB","Ito","Ito Smith","Smith","5.025000095367432","4","4800","ATL@HOU","ATL","HOU","","","","",""
"38945-47523","WR","Tajae","Tajae Sharpe","Sharpe","3.7999998728434243","3","4800","BUF@TEN","TEN","BUF","","","","",""
"38945-54753","WR","Taylor","Taylor Gabriel","Gabriel","11.866666158040365","3","4800","CHI@OAK","CHI","OAK","O","Concussion","","",""
"38945-30297","TE","Trey","Trey Burton","Burton","2.7000001271565757","3","4800","CHI@OAK","CHI","OAK","","","","",""
"38945-57986","WR","Hunter","Hunter Renfrow","Renfrow","3.5999999046325684","4","4800","CHI@OAK","OAK","CHI","","","","",""
"38945-25267","WR","Mack","Mack Hollins","Hollins","5.833333333333333","3","4800","NYJ@PHI","PHI","NYJ","","","","",""
"38945-6870","TE","Vernon","Vernon Davis","Davis","5.824999809265137","4","4800","NE@WAS","WAS","NE","O","Concussion","","",""
"38945-57338","TE","Jordan","Jordan Akins","Akins","7.525000095367432","4","4800","ATL@HOU","HOU","ATL","","","","",""
"38945-62510","TE","Nick","Nick Boyle","Boyle","3.799999952316284","4","4700","BAL@PIT","BAL","PIT","","","","",""
"38945-55366","RB","Qadree","Qadree Ollison","Ollison","0","0","4700","ATL@HOU","ATL","HOU","","","","",""
"38945-27771","WR","Cody","Cody Latimer","Latimer","6.699999809265137","2","4700","MIN@NYG","NYG","MIN","","","","",""
"38945-83081","RB","Chase","Chase Edmonds","Edmonds","2.4749999046325684","4","4700","ARI@CIN","ARI","CIN","","","","",""
