Position,Name,ID,Name+ID,Team,Game,Avg FPPG,Salary
QB,Patrick Mahomes,1644060,Patrick Mahomes (1644060),Chiefs,KC @ DET,32.26,"$14,400.00 "
QB,Lamar Jackson,1644093,Lamar Jackson (1644093),Ravens,CLE @ BAL,30.57,"$12,900.00 "
QB,Drew Brees,1644070,Drew Brees (1644070),Saints,DAL @ NO,12.66,"$12,900.00 "
QB,Philip Rivers,1644078,Philip Rivers (1644078),Chargers,LAC @ MIA,21.15,"$12,800.00 "
QB,Dak Prescott,1644051,Dak Prescott (1644051),Cowboys,DAL @ NO,29.53,"$12,100.00 "
QB,Deshaun Watson,1644094,Deshaun Watson (1644094),Texans,CAR @ HOU,24.8,"$12,100.00 "
QB,Jacoby Brissett,1644059,Jacoby Brissett (1644059),Colts,OAK @ IND,19.54,"$12,000.00 "
QB,Jared Goff,1644063,Jared Goff (1644063),Rams,TB @ LAR,15.9,"$12,000.00 "
QB,Tom Brady,1644067,Tom Brady (1644067),Patriots,NE @ BUF,25.48,"$11,900.00 "
QB,Josh Allen,1644044,Josh Allen (1644044),Bills,NE @ BUF,20.5,"$11,600.00 "
QB,Russell Wilson,1644081,Russell Wilson (1644081),Seahawks,SEA @ ARI,29.71,"$11,400.00 "
QB,Kyler Murray,1644097,Kyler Murray (1644097),Cardinals,SEA @ ARI,21.6,"$11,300.00 "
QB,Matthew Stafford,1644055,Matthew Stafford (1644055),Lions,KC @ DET,20.28,"$11,200.00 "
QB,Case Keenum,1644054,Case Keenum (1644054),Redskins,WAS @ NYG,23.47,"$10,900.00 "
QB,Daniel Jones,1644096,Daniel Jones (1644096),Giants,WAS @ NYG,19.71,"$10,900.00 "
QB,Teddy Bridgewater,1644071,Teddy Bridgewater (1644071),Saints,DAL @ NO,11.69,"$10,900.00 "
QB,Kyle Allen,1644086,Kyle Allen (1644086),Panthers,CAR @ HOU,25.34,"$10,700.00 "
QB,Jameis Winston,1644084,Jameis Winston (1644084),Buccaneers,TB @ LAR,17.59,"$10,700.00 "
QB,Matt Ryan,1644042,Matt Ryan (1644042),Falcons,TEN @ ATL,25.04,"$10,600.00 "
QB,Derek Carr,1644061,Derek Carr (1644061),Raiders,OAK @ IND,14.32,"$10,500.00 "
QB,Mitchell Trubisky,1644047,Mitchell Trubisky (1644047),Bears,MIN @ CHI,7.41,"$10,500.00 "
QB,Cam Newton,1644088,Cam Newton (1644088),Panthers,CAR @ HOU,11.34,"$10,400.00 "
QB,Marcus Mariota,1644058,Marcus Mariota (1644058),Titans,TEN @ ATL,18.74,"$10,200.00 "
QB,Gardner Minshew II,1644103,Gardner Minshew II (1644103),Jaguars,JAX @ DEN,17.89,"$10,200.00 "
QB,Baker Mayfield,1644049,Baker Mayfield (1644049),Browns,CLE @ BAL,14.03,"$10,200.00 "
QB,Joe Flacco,1644091,Joe Flacco (1644091),Broncos,JAX @ DEN,12.84,"$10,200.00 "
QB,Eli Manning,1644073,Eli Manning (1644073),Giants,WAS @ NYG,15.52,"$10,000.00 "
QB,Kirk Cousins,1644066,Kirk Cousins (1644066),Vikings,MIN @ CHI,12.92,"$10,000.00 "
QB,Robert Griffin III,1644092,Robert Griffin III (1644092),Ravens,CLE @ BAL,7.1,"$10,000.00 "
QB,Taysom Hill,1644072,Taysom Hill (1644072),Saints,DAL @ NO,4.76,"$10,000.00 "
QB,Ryan Fitzpatrick,1644082,Ryan Fitzpatrick (1644082),Dolphins,LAC @ MIA,4.5,"$10,000.00 "
QB,Josh Rosen,1644076,Josh Rosen (1644076),Dolphins,LAC @ MIA,3.79,"$10,000.00 "
QB,AJ McCarron,1644062,AJ McCarron (1644062),Texans,CAR @ HOU,0,"$10,000.00 "
QB,Alex McGough,1644090,Alex McGough (1644090),Texans,CAR @ HOU,0,"$10,000.00 "
QB,Alex Tanney,1644074,Alex Tanney (1644074),Giants,WAS @ NYG,0,"$10,000.00 "
QB,Blaine Gabbert,1644057,Blaine Gabbert (1644057),Buccaneers,TB @ LAR,0,"$10,000.00 "
QB,Blake Bortles,1644089,Blake Bortles (1644089),Rams,TB @ LAR,0,"$10,000.00 "
QB,Brandon Allen,1644095,Brandon Allen (1644095),Broncos,JAX @ DEN,0,"$10,000.00 "
QB,Brett Hundley,1644080,Brett Hundley (1644080),Cardinals,SEA @ ARI,0,"$10,000.00 "
QB,Brian Hoyer,1644068,Brian Hoyer (1644068),Colts,OAK @ IND,0,"$10,000.00 "
QB,Chad Kelly,1644107,Chad Kelly (1644107),Colts,OAK @ IND,0,"$10,000.00 "
QB,Chase Daniel,1644046,Chase Daniel (1644046),Bears,MIN @ CHI,0,"$10,000.00 "
QB,Clayton Thorson,1644101,Clayton Thorson (1644101),Cowboys,DAL @ NO,0,"$10,000.00 "
QB,Colt McCoy,1644085,Colt McCoy (1644085),Redskins,WAS @ NYG,0,"$10,000.00 "
QB,Cooper Rush,1644052,Cooper Rush (1644052),Cowboys,DAL @ NO,0,"$10,000.00 "
QB,David Blough,1644105,David Blough (1644105),Lions,KC @ DET,0,"$10,000.00 "
QB,DeShone Kizer,1644056,DeShone Kizer (1644056),Raiders,OAK @ IND,0,"$10,000.00 "
QB,Dwayne Haskins Jr.,1644098,Dwayne Haskins Jr. (1644098),Redskins,WAS @ NYG,0,"$10,000.00 "
QB,Easton Stick,1644102,Easton Stick (1644102),Chargers,LAC @ MIA,0,"$10,000.00 "
QB,Garrett Gilbert,1644087,Garrett Gilbert (1644087),Browns,CLE @ BAL,0,"$10,000.00 "
QB,Geno Smith,1644079,Geno Smith (1644079),Seahawks,SEA @ ARI,0,"$10,000.00 "
QB,J.T. Barrett IV,1644069,J.T. Barrett IV (1644069),Saints,DAL @ NO,0,"$10,000.00 "
QB,Jeff Driskel,1644048,Jeff Driskel (1644048),Lions,KC @ DET,0,"$10,000.00 "
QB,Josh Dobbs,1644077,Josh Dobbs (1644077),Jaguars,JAX @ DEN,0,"$10,000.00 "
QB,Matt Barkley,1644045,Matt Barkley (1644045),Bills,NE @ BUF,0,"$10,000.00 "
QB,Matt Schaub,1644043,Matt Schaub (1644043),Falcons,TEN @ ATL,0,"$10,000.00 "
QB,Mike Glennon,1644075,Mike Glennon (1644075),Raiders,OAK @ IND,0,"$10,000.00 "
QB,Mike White,1644053,Mike White (1644053),Cowboys,DAL @ NO,0,"$10,000.00 "
QB,Ryan Griffin,1644083,Ryan Griffin (1644083),Buccaneers,TB @ LAR,0,"$10,000.00 "
QB,Taryn Christion,1644106,Taryn Christion (1644106),Cowboys,DAL @ NO,0,"$10,000.00 "
